,min,max,average
0,20195.014962962967,23525.732444444446,22976.89466333135
1,20195.014962962967,23519.46892307692,22741.15010975883
2,20195.014962962967,23513.293048732947,22503.955365773425
3,20082.129999999997,23508.96622222222,22221.987427063865
4,20082.129999999997,23476.420714596956,21891.797139223967
5,20082.129999999997,22843.66092307692,21664.833871042076
6,20082.129999999997,22732.15555555555,21496.547911278267
7,20082.129999999997,22531.269751633987,21330.885821761512
8,20082.129999999997,22135.721523809523,21187.480171531533
9,20082.129999999997,21928.372222222224,21057.95071506334
10,18846.36593762183,21295.53851851852,20973.009231264965
11,18846.36593762183,21213.58577777778,20936.818811066394
12,18846.36593762183,21166.930640522874,20891.162102287853
13,18846.36593762183,21160.89804793028,20825.214193573258
14,18846.36593762183,21158.385333333335,20800.507666109825
15,18846.36593762183,21153.982222222225,20772.696846942148
16,18846.36593762183,21151.796444444444,20749.192452705276
17,18846.36593762183,21143.862222222222,20707.947070596056
18,18846.36593762183,21138.82222222222,20688.8886695806
19,18663.169481481484,21038.783111111108,20641.761601690672
20,18663.169481481484,20910.353419103314,20618.471772061042
21,18663.169481481484,20906.166666666668,20593.662910412804
22,18663.169481481484,20904.608530214424,20589.683652518062
23,18663.169481481484,20901.314047930282,20580.19600964978
24,18663.169481481484,20898.49623391813,20541.15752435857
25,18663.169481481484,20898.45597385621,20538.04813090827
26,18663.169481481484,20895.886962962966,20523.509350606866
27,18663.169481481484,20893.574412698414,20490.221842825977
28,18663.169481481484,20890.633523809523,20447.88754081539
29,18663.169481481484,20888.224,20437.263374653405
30,18663.169481481484,20887.065523809524,20411.80636241383
31,18663.169481481484,20875.41422222222,20385.65341633947
32,18653.681333333334,20844.132222222222,20318.509480563072
33,18653.681333333334,20688.560282828283,20304.57156936601
34,18653.681333333334,20632.12088888889,20289.375727537965
35,18653.681333333334,20588.827386243385,20282.90627912838
36,18653.681333333334,20586.324592592595,20277.94325494046
37,18653.681333333334,20583.472862745097,20264.85626736138
38,18653.681333333334,20583.453925925925,20260.977845400597
39,18653.681333333334,20579.578640522876,20234.051986720235
40,18653.681333333334,20578.374222222224,20226.327310473735
41,18653.681333333334,20577.052888888888,20213.52133682294
42,18653.681333333334,20575.625333333333,20212.160228836638
43,18653.681333333334,20574.953523809523,20207.942991058855
44,18653.681333333334,20573.225523809524,20199.710549676012
45,18653.681333333334,20572.841523809522,20180.972376660142
46,18653.681333333334,20572.841523809522,20180.972376660142
47,18653.681333333334,20572.42241269841,20160.472615919403
48,18653.681333333334,20571.912222222225,20148.501143849688
49,18653.681333333334,20571.533159041395,20125.559973373496
