,min,max,average
0,4.134212121212121,9.921444444444445,8.207513479679363
1,4.134212121212121,9.006518518518519,7.597481781791195
2,4.134212121212121,8.748167755991286,7.304601974278444
3,3.349,8.145444444444443,6.882194600954598
4,3.349,7.942841269841271,6.619524157324156
5,3.349,7.752692307692308,6.393256256336255
6,3.349,7.539137566137566,6.221668044548046
7,3.349,7.364174603174604,6.132452204092206
8,3.349,7.145581196581197,6.030763039923039
9,3.349,7.0575811965811965,5.915715456395455
10,3.349,6.843222222222222,5.801704566544567
11,3.349,6.664692307692308,5.569733568653566
12,3.349,6.561555555555556,5.374802377622377
13,3.349,6.528692307692308,5.312819440559441
14,3.349,6.355222222222222,5.275282657342658
15,3.349,6.355222222222222,5.275282657342658
16,3.349,6.232692307692307,5.100297606837607
17,3.349,6.093555555555556,5.0048394250194255
18,3.349,5.971222222222222,4.926672354312355
19,3.349,5.971222222222222,4.854347505827508
