,min,max,average
0,215366.83333333334,250181.38095238095,240023.05580000966
1,215366.83333333334,246790.77777777775,237762.73919421018
2,215366.83333333334,245369.36984126983,235789.80733647317
3,215366.83333333334,242491.48888888888,234168.50772677697
4,215366.83333333334,241572.57777777777,232487.07966328494
5,215366.83333333334,240327.47407407407,230802.5427812825
6,215366.83333333334,240185.55396825395,230254.05782401757
7,215366.83333333334,239221.12121212122,228779.55928337295
8,215366.83333333334,236253.47407407407,226992.28859946423
9,215366.83333333334,233872.47777777776,226030.40687459664
10,214953.29658119657,232722.77777777775,225652.02325066496
11,214953.29658119657,229489.44444444444,225019.72776194313
12,214953.29658119657,229333.43333333332,224597.8855385717
13,214953.29658119657,228752.17864923744,223910.50335379347
14,214953.29658119657,228158.70317460317,223583.76737122276
15,208094.64102564103,227869.42962962962,223002.36579158236
16,208094.64102564103,227625.49716775597,222620.55558741174
17,208094.64102564103,227097.12121212122,222223.99587312608
18,208094.64102564103,226441.46666666667,222024.10734617594
19,208094.64102564103,226013.60935672512,221825.85969049827
