,min,max,average
0,20591.777333333335,23552.220444444447,22798.811171501497
1,20591.777333333335,23535.20923076923,22443.255394820528
2,19821.748000000003,23528.37811965812,22189.891274392987
3,19821.748000000003,23508.72355555556,21887.846098686372
4,19821.748000000003,22913.701925925932,21576.936960094365
5,19821.748000000003,22193.83873856209,21355.713263417754
6,19821.748000000003,22153.663238095236,21215.00033302056
7,19821.748000000003,21333.993220043576,21042.117802930592
8,19821.748000000003,21246.277777777777,21000.539941312163
9,18710.96975132275,21197.654627450982,20923.785805596315
10,18710.96975132275,21187.450074074073,20895.780986688515
11,18710.96975132275,21175.775238095237,20870.23882578881
12,18710.96975132275,21169.844015873015,20830.643918012232
13,18710.96975132275,21165.35323076923,20787.78000982602
14,18692.611738562093,21161.40611965812,20727.197956591564
15,18692.611738562093,21153.398222222222,20698.583437610323
16,18692.611738562093,21072.831294117645,20656.92376999203
17,18692.611738562093,21059.032888888887,20638.30290986443
18,18692.611738562093,20941.903333333335,20612.515643393184
19,18692.611738562093,20933.475738562094,20593.999734648125
20,18680.259333333335,20929.519555555555,20560.058443645936
21,18680.259333333335,20924.77262745098,20538.854974189944
22,18680.259333333335,20921.813333333335,20529.96857066676
23,18680.259333333335,20919.652962962962,20505.805496999747
24,18680.259333333335,20913.759238095237,20499.57507721139
25,18680.259333333335,20909.439238095238,20472.06649753592
26,18680.259333333335,20907.783238095235,20445.710783175513
27,18680.259333333335,20880.752,20411.607108985278
28,18680.259333333335,20672.149925925925,20392.684265851065
29,18680.259333333335,20667.741960784315,20377.632788814026
30,18680.259333333335,20658.86288888889,20376.338063053834
31,18680.259333333335,20658.86288888889,20376.338063053834
32,18680.259333333335,20628.66866666667,20357.065255254274
33,18680.259333333335,20623.244857699807,20339.193052581417
34,18680.259333333335,20622.1922962963,20338.801655057046
35,18680.259333333335,20620.262222222223,20313.23369824099
36,18680.259333333335,20620.262222222223,20313.23369824099
37,18680.259333333335,20619.893703703703,20312.84668832646
38,18680.259333333335,20617.559,20309.833944708225
39,18680.259333333335,20616.15,20292.312173226746
40,18680.259333333335,20614.995812636167,20282.685933704375
41,18680.259333333335,20613.99251633987,20263.276662394073
42,18680.259333333335,20612.104627450983,20238.464866343653
43,18680.259333333335,20610.06888888889,20229.49386509183
44,18680.259333333335,20609.527925925926,20223.241292128863
45,18680.259333333335,20607.250666666667,20186.92862864237
46,18680.259333333335,20606.253960784314,20158.788033267323
47,18680.259333333335,20605.765962962963,20151.087985199443
48,18680.259333333335,20604.96077777778,20146.243294110118
49,18680.259333333335,20603.04662745098,20130.164265370382
