,min,max,average
0,207565.5798941799,250750.48888888888,242437.57607551932
1,207565.5798941799,249013.38095238095,240945.52345802783
2,207565.5798941799,247381.38095238095,239074.40626125952
3,207565.5798941799,245121.36984126983,236836.9197121441
4,207565.5798941799,243794.55555555556,234856.99251637686
5,207565.5798941799,242223.43333333332,233641.7989253404
6,207565.5798941799,241065.57037037035,232116.2091437147
7,207565.5798941799,238543.43333333332,229686.17976517163
8,207565.5798941799,238069.12121212122,228775.73982866365
9,207565.5798941799,234901.0,226845.19773638563
10,207565.5798941799,231551.20370370368,226002.30582592578
11,207565.5798941799,230100.2148148148,225612.00801640202
12,207565.5798941799,229993.44444444444,225445.63498506296
13,207565.5798941799,229843.5222222222,224759.79522275113
14,207565.5798941799,228943.4222222222,224447.80451375642
15,207565.5798941799,228589.43333333332,223826.6713742988
16,207565.5798941799,228199.2272727273,223469.43388908252
17,207565.5798941799,227929.38095238095,223308.46284634748
18,207565.5798941799,227632.47777777776,222971.58022200887
19,207565.5798941799,227457.38095238095,222935.8777008307
