,min,max,average
0,2012.0,2349.0,2273.9099999999994
1,2012.0,2349.0,2230.070000000001
2,2012.0,2347.3333333333335,2191.9466666666685
3,1975.3333333333335,2271.333333333333,2143.68
4,1862.0,2210.0,2103.4066666666677
5,1862.0,2118.0,2081.256666666667
6,1862.0,2112.0,2072.459999999999
7,1862.0,2112.0,2065.139999999999
8,1862.0,2096.666666666667,2056.4566666666665
9,1862.0,2086.0,2050.25
10,1862.0,2085.0,2044.74
11,1862.0,2081.0,2033.8066666666666
12,1862.0,2054.0,2026.8633333333335
13,1862.0,2054.0,2017.5166666666667
14,1862.0,2054.0,2009.49
15,1837.0,2053.0,1998.7433333333338
16,1837.0,2053.0,1986.056666666667
17,1837.0,2053.0,1973.233333333333
18,1837.0,2053.0,1959.453333333333
19,1837.0,2053.0,1944.413333333333
20,1837.0,2012.0,1929.1966666666654
21,1837.0,2012.0,1912.4799999999993
22,1837.0,2004.6666666666665,1897.6800000000012
23,1837.0,1975.3333333333335,1882.953333333335
24,1837.0,1975.3333333333335,1869.3533333333337
25,1837.0,1880.0,1861.68
26,1837.0,1862.0,1861.5
27,1837.0,1862.0,1861.5
28,1837.0,1862.0,1861.5
29,1837.0,1862.0,1861.5
30,1837.0,1862.0,1861.5
31,1837.0,1862.0,1861.5
32,1837.0,1862.0,1861.5
33,1837.0,1862.0,1861.5
34,1837.0,1862.0,1861.5
35,1837.0,1862.0,1861.5
36,1837.0,1862.0,1861.5
37,1837.0,1862.0,1861.5
38,1837.0,1862.0,1861.5
39,1837.0,1862.0,1861.5
40,1837.0,1862.0,1861.5
41,1837.0,1862.0,1861.5
42,1837.0,1862.0,1861.5
43,1837.0,1862.0,1861.5
44,1837.0,1862.0,1861.5
45,1837.0,1862.0,1861.5
46,1837.0,1862.0,1861.5
47,1837.0,1862.0,1861.5
48,1837.0,1862.0,1861.5
49,1837.0,1862.0,1861.5
