,min,max,average
0,8422.380952380952,20350.444444444445,15769.204185223562
1,8182.222222222223,18457.380952380954,14098.681733070049
2,7894.121212121212,16870.35873015873,12763.688114404114
3,7198.121212121212,16102.477777777778,11955.014977392979
4,4342.121212121212,14614.307692307691,11296.0016988937
5,4342.121212121212,13678.307692307691,10670.296584822589
6,4342.121212121212,12814.222222222223,10045.383849927854
7,2350.0,12130.29658119658,9160.365020091027
8,2350.0,11694.369841269841,9008.84573493174
9,2350.0,11374.222222222223,8715.761073149079
10,2350.0,10828.29658119658,8154.795271247275
11,2350.0,10390.222222222223,7808.817610019615
12,2350.0,9550.307692307691,7499.693791837794
13,2350.0,9550.222222222223,7221.761888185891
14,2350.0,9070.121212121212,7065.277847781852
15,2350.0,8854.222222222223,6696.301449661452
16,2350.0,8662.222222222223,6274.8549850149875
17,2350.0,7894.121212121212,5693.807770007771
18,2350.0,7342.121212121212,5289.160901320903
19,2350.0,7198.121212121212,4911.39191919192
