,min,max,average
0,3.349,9.532,8.127080981166523
1,3.349,8.924285714285714,7.609055416078016
2,3.349,8.656692307692307,7.311921054457525
3,3.349,8.323025641025641,6.94732520993168
4,3.349,7.936692307692308,6.720134119192359
5,3.349,7.725,6.433306285936286
6,3.349,7.4086923076923075,6.250669805379804
7,3.349,7.203222222222222,6.041570666370667
8,3.349,7.024692307692307,5.921582649942651
9,3.349,6.77491452991453,5.766830065860063
10,3.349,6.726222222222223,5.706966060976058
11,3.349,6.5792222222222225,5.594424235024232
12,3.349,6.425692307692308,5.45520248936249
13,3.349,6.389555555555555,5.403954649424651
14,3.349,6.261581196581197,5.281851797461801
15,3.349,6.179222222222222,5.204957135457141
16,3.349,6.147222222222222,5.159257430717437
17,3.349,5.971222222222222,5.042335545195551
18,3.349,5.739222222222223,4.976418386428393
19,3.349,5.731222222222223,4.959077982387989
