,min,max,average
0,1862.0,2349.0,2278.035333333334
1,1862.0,2349.0,2256.381666666662
2,1862.0,2349.0,2232.7843333333167
3,1862.0,2347.3333333333335,2214.6763333333265
4,1862.0,2341.0,2194.0916666666585
5,1862.0,2289.3333333333335,2175.492666666657
6,1862.0,2271.333333333333,2162.6649999999986
7,1862.0,2271.333333333333,2150.272000000001
8,1862.0,2250.0,2139.248333333332
9,1862.0,2212.0,2130.463666666663
10,1862.0,2210.0,2124.018999999996
11,1862.0,2210.0,2118.205666666662
12,1862.0,2210.0,2111.515999999994
13,1862.0,2190.0,2106.4916666666604
14,1862.0,2190.0,2100.2576666666596
15,1862.0,2143.3333333333335,2096.669999999995
16,1862.0,2127.0,2094.646333333332
17,1862.0,2126.0,2093.189333333332
18,1862.0,2126.0,2091.6056666666655
19,1862.0,2126.0,2090.004333333332
