,min,max,average
0,2054.0,2349.0,2277.4299999999994
1,2006.0,2349.0,2251.2033333333334
2,1880.0,2347.3333333333335,2212.0366666666687
3,1880.0,2271.333333333333,2175.2433333333356
4,1880.0,2262.0,2135.3766666666666
5,1880.0,2210.0,2110.653333333334
6,1880.0,2138.333333333333,2090.4900000000002
7,1880.0,2126.0,2079.49
8,1880.0,2112.666666666667,2067.143333333333
9,1880.0,2112.0,2053.2899999999995
10,1880.0,2086.0,2042.2366666666667
11,1880.0,2085.0,2034.29
12,1880.0,2054.0,2027.513333333333
13,1862.0,2054.0,2023.256666666667
14,1862.0,2054.0,2014.6600000000003
15,1862.0,2054.0,2011.0933333333337
16,1862.0,2054.0,2005.8333333333337
17,1862.0,2054.0,1999.9133333333343
18,1862.0,2054.0,1992.91
19,1862.0,2054.0,1988.9733333333331
20,1862.0,2053.0,1976.8233333333326
21,1862.0,2040.6666666666667,1966.946666666666
22,1862.0,2016.0000000000002,1963.5999999999997
23,1862.0,2012.0,1954.813333333331
24,1862.0,2008.0,1940.706666666665
25,1862.0,2006.0,1936.7733333333326
26,1862.0,2004.6666666666665,1932.3266666666675
27,1862.0,1975.3333333333335,1927.3466666666686
28,1862.0,1975.3333333333335,1925.080000000002
29,1862.0,1975.3333333333335,1921.860000000002
30,1862.0,1975.3333333333335,1916.1933333333357
31,1862.0,1975.3333333333335,1909.753333333336
32,1862.0,1975.3333333333335,1900.453333333336
33,1862.0,1975.3333333333335,1896.3666666666688
34,1862.0,1975.3333333333335,1888.0200000000013
35,1862.0,1975.3333333333335,1877.2266666666671
36,1862.0,1880.0,1869.56
37,1862.0,1880.0,1867.94
38,1862.0,1880.0,1866.5
39,1862.0,1880.0,1864.88
40,1862.0,1880.0,1863.08
41,1862.0,1862.0,1862.0
42,1862.0,1862.0,1862.0
43,1837.0,1862.0,1861.75
44,1837.0,1862.0,1861.75
45,1837.0,1862.0,1861.75
46,1837.0,1862.0,1861.75
47,1837.0,1862.0,1861.75
48,1837.0,1862.0,1861.75
49,1837.0,1862.0,1861.75
