,min,max,average
0,4342.121212121212,19607.11111111111,15209.373722772474
1,4342.121212121212,17596.433333333334,13785.101019407617
2,2350.0,16462.433333333334,12818.87134645095
3,2350.0,15838.307692307691,12295.41414010174
4,2350.0,14998.307692307691,11352.108348115953
5,2350.0,14284.036507936507,10779.227532726545
6,2350.0,13830.355026455027,10348.628184482195
7,2350.0,12986.433333333334,9505.319692714698
8,2350.0,12262.366137566138,8974.030361305371
9,2350.0,11806.222222222223,8681.694415658425
10,2350.0,11324.555555555555,8275.289426869436
11,2350.0,11014.307692307691,8199.816663077674
12,2350.0,10774.222222222223,7909.124978798989
13,2350.0,10110.292877492877,7643.625580567589
14,2350.0,9886.307692307691,7493.783228993237
15,2350.0,9550.222222222223,7314.290079920086
16,2350.0,9238.307692307691,7232.166718244724
17,2350.0,9238.222222222223,7208.642988640994
18,2350.0,9198.42962962963,7058.837296074302
19,2350.0,9070.121212121212,6803.060493173499
