,min,max,average
0,18822.54025925926,23507.390797385622,22764.19522675742
1,18822.54025925926,23502.635692307693,22492.471866499614
2,18822.54025925926,23499.420952380955,22228.913063923334
3,18822.54025925926,23491.0,21942.087887955884
4,18822.54025925926,23225.216319688116,21747.714890533636
5,18822.54025925926,22729.59302564102,21538.63843481652
6,18822.54025925926,22407.844,21320.235600601914
7,18822.54025925926,22120.281801169593,21178.505699574347
8,18822.54025925926,21917.466871459696,21049.253265490683
9,18822.54025925926,21405.30724183006,20978.995353273243
10,18822.54025925926,21272.790222222222,20926.871896662746
11,18822.54025925926,21187.26481481481,20875.91847174571
12,18822.54025925926,21141.41088888889,20856.977032396197
13,18822.54025925926,21139.884952380955,20829.897584239905
14,18822.54025925926,21138.780952380956,20807.64887666612
15,18822.54025925926,21136.480666666666,20759.468358410366
16,18822.54025925926,21135.900952380955,20758.017161227548
17,18822.54025925926,21134.939692307693,20740.51666391712
18,18639.59725925926,21131.014222222224,20660.503147735497
19,18639.59725925926,21127.217212121213,20653.61557698181
20,18639.59725925926,21127.217212121213,20645.412920713236
21,18639.59725925926,21017.340352941173,20630.67991675043
22,18639.59725925926,21015.07911111111,20607.236312480276
23,18639.59725925926,20987.866575163403,20577.674002027787
24,18639.59725925926,20881.400912280704,20539.9797755043
25,18639.59725925926,20879.480575163398,20512.067982566663
26,18639.59725925926,20877.385555555556,20480.04828278764
27,18639.59725925926,20875.353333333333,20470.355112409132
28,18639.59725925926,20874.190245614038,20456.759682885324
29,18639.59725925926,20871.388952380956,20438.15537856226
30,18639.59725925926,20869.080222222223,20413.067050511087
31,18639.59725925926,20867.028952380955,20404.311683125463
32,18639.59725925926,20828.148444444447,20381.923031766222
33,18639.59725925926,20612.180370370374,20352.392046790905
34,18639.59725925926,20609.8952788671,20350.82206862097
35,18639.59725925926,20607.652952380955,20335.629862203292
36,18639.59725925926,20563.24788888889,20330.503777093298
37,18639.59725925926,20562.362814814816,20322.45101267134
38,18639.59725925926,20561.566801169593,20298.866174137125
39,18639.59725925926,20560.725777777778,20285.916490274198
40,18639.59725925926,20560.30622222222,20266.622888051977
41,18639.59725925926,20559.698222222225,20249.0470828378
42,18639.59725925926,20559.47988888889,20249.015102663507
43,18638.295777777777,20559.158222222224,20221.778098832197
44,18638.295777777777,20558.149333333335,20211.535343963747
45,18638.295777777777,20557.639649237473,20186.81403164935
46,18638.295777777777,20556.908952380953,20179.12439331255
47,18638.295777777777,20556.789555555555,20177.74999341837
48,18638.295777777777,20556.229333333333,20158.388198897806
49,18638.295777777777,20556.229333333333,20158.388198897806
