,min,max,average
0,5518.222222222223,21290.51568627451,16565.692925758336
1,5518.222222222223,18622.380952380954,15544.013956762192
2,5518.222222222223,17858.455555555556,14525.642610548497
3,2350.0,16990.30769230769,13397.929257487605
4,2350.0,15954.422222222222,12510.453558293557
5,2350.0,15406.307692307691,11412.920184556184
6,2350.0,14656.641025641025,10531.044334628335
7,2350.0,13438.307692307691,9623.12065808266
8,2350.0,12558.369841269841,9205.419728789731
9,2350.0,12190.222222222223,8947.013994153996
10,2350.0,11905.222222222223,8692.993041773045
11,2350.0,11377.222222222223,8212.77196825397
12,2350.0,10774.222222222223,7271.481064047066
13,2350.0,9550.307692307691,6871.528225404228
14,2350.0,9070.121212121212,6640.715719539721
15,2350.0,8472.454545454546,6286.269291671293
16,2350.0,8411.222222222223,5870.964645206645
17,2350.0,8287.307692307691,5589.986137270137
18,2350.0,7342.222222222223,5119.386960890962
19,2350.0,7342.121212121212,4819.8556477596485
