,min,max,average
0,2004.6666666666665,2349.0,2282.3633333333332
1,2004.6666666666665,2349.0,2261.1699999999996
2,2004.6666666666665,2349.0,2239.436666666667
3,2004.6666666666665,2349.0,2221.3000000000006
4,2004.6666666666665,2347.3333333333335,2201.9733333333347
5,2004.6666666666665,2329.0,2183.033333333335
6,2004.6666666666665,2282.0,2164.1733333333345
7,2004.6666666666665,2271.333333333333,2150.2800000000007
8,2004.6666666666665,2262.0,2139.603333333333
9,2004.6666666666665,2219.666666666667,2129.3866666666668
10,2004.6666666666665,2210.0,2123.383333333333
11,2004.6666666666665,2210.0,2117.1600000000003
12,1862.0,2199.3333333333335,2103.1133333333337
13,1862.0,2190.0,2099.32
14,1862.0,2190.0,2097.6400000000003
15,1862.0,2143.3333333333335,2094.4466666666667
16,1862.0,2126.0,2092.8
17,1862.0,2126.0,2089.8633333333332
18,1862.0,2118.0,2086.95
19,1862.0,2118.0,2085.47
20,1862.0,2113.0,2085.12
21,1862.0,2112.0,2083.96
22,1862.0,2112.0,2081.68
23,1862.0,2112.0,2081.15
24,1862.0,2112.0,2080.0266666666666
25,1862.0,2112.0,2079.4466666666667
26,1862.0,2112.0,2079.4466666666667
27,1862.0,2112.0,2078.1866666666665
28,1862.0,2112.0,2078.1866666666665
29,1862.0,2112.0,2077.1866666666665
30,1862.0,2112.0,2076.113333333333
31,1862.0,2112.0,2076.113333333333
32,1862.0,2112.0,2075.843333333333
33,1862.0,2112.0,2074.499999999999
34,1862.0,2112.0,2074.229999999999
35,1862.0,2112.0,2073.846666666666
36,1862.0,2112.0,2073.576666666666
37,1862.0,2112.0,2072.293333333332
38,1862.0,2112.0,2071.4533333333325
39,1862.0,2112.0,2070.3433333333323
40,1862.0,2112.0,2070.219999999999
41,1862.0,2112.0,2070.219999999999
42,1862.0,2112.0,2069.3599999999988
43,1862.0,2112.0,2068.829999999999
44,1862.0,2112.0,2068.569999999999
45,1862.0,2112.0,2065.2299999999987
46,1862.0,2112.0,2064.5166666666655
47,1862.0,2112.0,2063.1099999999988
48,1862.0,2099.6666666666665,2061.8066666666655
49,1862.0,2099.6666666666665,2060.3766666666656
