,min,max,average
0,20426.308814814816,23506.404952380955,22867.28160632575
1,19771.608111111113,23502.011692307693,22699.85162244158
2,19771.608111111113,23498.93658119658,22466.090815797445
3,19771.608111111113,23492.53777777778,22173.175851375614
4,19771.608111111113,23225.70820479303,21871.22249323037
5,19771.608111111113,22734.769777777772,21665.987115592627
6,19771.608111111113,22641.54466666667,21455.016120186738
7,19771.608111111113,22122.852444444445,21293.060073035023
8,18641.990148148147,22115.37169230769,21153.50749389022
9,18641.990148148147,21912.685841269842,21008.702527919035
10,18641.990148148147,21283.537481481482,20949.66678280664
11,18641.990148148147,21271.398222222222,20904.432155390507
12,18641.990148148147,21189.10769230769,20879.896699547906
13,18641.990148148147,21141.960148148148,20861.32833567925
14,18641.990148148147,21140.484,20835.11909297269
15,18641.990148148147,21139.036444444446,20805.6350708108
16,18639.326,21137.56166666667,20742.652900795238
17,18639.326,21135.948952380953,20720.594546153516
18,18639.326,21131.542222222222,20660.573366978668
19,18639.326,21019.294814814813,20630.691013572054
