functional_metric_id,Dp1,Dp2,Dp3,Dp4,Dp5,Dp6,Dp7,Dp8,Dp9,Dp10,Dp11,Dp12,Dp13,Dp14,Dp15,Dp16,Dp17,Dp18,Dp19,Dp20,Dp21,Dp22,Dp23
Fm1,1,3,1,1,1,1,1,1,1,1,1,1,0,0,0,3,1,1,3,3,3,1,1
Fm2,1,1,1,1,1,1,3,3,1,1,1,1,0,0,0,3,1,3,1,3,3,1,1
Fm3,0,1,1,1,1,0,1,3,1,1,3,1,3,1,1,0,0,1,0,0,0,1,1
Fm4,0,1,1,1,1,0,1,3,1,1,3,1,3,1,1,0,0,1,0,0,0,1,1
Fm5,3,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,3,1
Fm6,3,1,1,3,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,3,1
Fm7,1,1,0,1,1,0,1,1,0,1,1,0,0,3,3,3,3,1,3,1,1,1,1
Fm8,1,1,0,1,1,0,1,1,0,1,1,0,0,3,3,3,3,1,1,1,1,1,1
Fm9,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,3,3,1,3,1,1,1,1
Fm10,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,3,3,1,1,1,1,1,1
Fm11,3,0,0,3,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,3
Fm12,3,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,3


